WKT,cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,telefono,email,codpost,web_megcba,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,Nivel
"MULTIPOINT ((-58.4645987565621 -34.5501751159763))","201500","20106800","201068","0",2,Cuba 3302,Cuba 3302,Inst. de Enseñanza Primaria Gral. San Martín,I E Prim Gral San Martín,4701-0864/ 4702-0966,secretaranmartin.com.ar /iaprimaria@igsar,C1429,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom,Nivel Inicial y Primario Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,NUÑEZ,07 - HOSP PIROVANO,"1",99825.7153732,108823.97998,Inicial Común - Primario Común
"MULTIPOINT ((-58.4802132519522 -34.5592978762236))","201510","20038700","200387","0",2,Manuela Pedraza 3950,Manuela Pedraza 3950,Inst. Sta. María de los Angeles,I Sta María de los Angeles,4543-3142/4542-2089,instsma@uolsinectis.com.ar,C1430,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,12,COGHLAN,07 - HOSP PIROVANO,"1",98392.6555018,107811.809344,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4335095526153 -34.6155947342935))","200377","20137400","201374","0",1,Campichuelo 100,Avda. Rivadavia 4817,Esc. Primaria Común N° 03 Primera Junta,EPjs 03,4901-1956/ 4902-1063,dep_epc3_de7@bue.edu.ar,C1424,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102677.256555,101566.238637,Primario Común
"MULTIPOINT ((-58.4512921362945 -34.6243047883351))","200356","20037900","200379","0",1,Avda. Rivadavia 6065,Yerbal 1548,Jardín de Infantes Común N° 03/07° La Porteña,JIC 03/07,4632-5630,dei_jic3_de7@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",7,6,CABALLITO,06 - HOSP PIÑERO,"1",101046.184213,100600.307105,Inicial Común
"MULTIPOINT ((-58.4512921362945 -34.6243047883351))","200356","20135300","201353","0",1,Avda. Rivadavia 6065,Avda. Rivadavia 6065,Esc. Primaria Común N° 04 Presidente Dr. Arturo Umberto Illia,EPjs 04,4632-1913,dep_epc4_de7@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",7,6,CABALLITO,06 - HOSP PIÑERO,"1",101046.184213,100600.307105,Primario Común
"MULTIPOINT ((-58.4601463933394 -34.6157865729557))","200357","20084804","200848","4",1,Manuel Ricardo Trelles 948,Manuel Ricardo Trelles 948,Jardín de Infantes Nucleado C (EPCjc 05/07°),JIN C-04 (05),4583-9957,dei_jinc12_de7@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,7,FLORES,01 - HOSP ALVAREZ,"1",100234.208186,101545.341263,Inicial Común
"MULTIPOINT ((-58.4601463933394 -34.6157865729557))","200357","20013900","200139","0",1,Manuel Ricardo Trelles 948,Manuel Ricardo Trelles 948,Esc. Primaria Común N° 05 Juan B. Peña,EPjc 05,4581-8556,dep_epc5_de7@bue.edu.ar / esc5de7@yahoo.com.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,7,FLORES,01 - HOSP ALVAREZ,"1",100234.208186,101545.341263,Primario Común
"MULTIPOINT ((-58.4428559084106 -34.6620462952109))","200858","20195000","201950","0",1,Portela 3150,Portela 3150,Esc. de Música N° 04,EMus 04,4918-4400,dep_emp4_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,OSECom,Otros Servicios Educativos de la modalidad Común,EMP,Escuela de Música -Primarias-,Dirección de Educación Primaria,"1",19,8,VILLA SOLDATI,06 - HOSP PIÑERO,"1",101819.023514,96413.2740086,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.4463119084499 -34.6029317139754))","200358","20068900","200689","0",1,Olaya 1565,Olaya 1565,Esc. Primaria Común N° 06 Delfín Jijena,EPjs 06,4854-9477,dep_epc6_de7@bue.edu.ar,C1414,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",7,15,VILLA CRESPO,03 - HOSP DURAND,"1",101503.292668,102971.288079,Primario Común
"MULTIPOINT ((-58.4528214362756 -34.6091235903366))","200359","20127300","201273","0",1,Cnel. Apolinario Figueroa 1077,Espinosa 1243,Jardín de Infantes Común N° 04/07°,JIC 04/07,4588-1830,dei_jic4_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100906.101203,102284.464519,Inicial Común
"MULTIPOINT ((-58.4528214362756 -34.6091235903366))","200359","20088200","200882","0",1,Cnel. Apolinario Figueroa 1077,Cnel. Apolinario Figueroa 1077,Esc. Primaria Común N° 08 Provincia de San Juan,EPjs 08,4582-9333,dep_epc8_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100906.101203,102284.464519,Primario Común
"MULTIPOINT ((-58.4657390534181 -34.6070515989566))","200360","20084803","200848","3",1,Sánchez 1858,Sánchez 1858,Jardín de Infantes Nucleado C (EPCjc 09/07°),JIN C-03 (09),4583-9957,dei_jinc12_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99721.2388664,102514.362962,Inicial Común
"MULTIPOINT ((-58.4657390534181 -34.6070515989566))","200360","20087800","200878","0",1,Sánchez 1858,Sánchez 1858,Esc. Primaria Común N° 09 Japón,EPjc 09,4581-3497,dep_epc9_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99721.2388664,102514.362962,Primario Común
"MULTIPOINT ((-58.4581511052273 -34.6088817015962))","200361","20087903","200879","3",1,Nicasio Oroño 1431,Nicasio Oroño 1431,Jardín de Infantes Nucleado D (EPCjc 11/07°),JIN D-03 (11),4958-5413,dei_jind11_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100417.2439,102311.333632,Inicial Común
"MULTIPOINT ((-58.4581511052273 -34.6088817015962))","200361","20088000","200880","0",1,Nicasio Oroño 1431,Nicasio Oroño 1431,Esc. Primaria Común N° 11 José Ignacio Gorriti,EPjc 11,4581-9922,dep_epc11_de7@bue.edu.ar/escuelagorriti@yahoo.com.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100417.2439,102311.333632,Primario Común
"MULTIPOINT ((-58.4606806476838 -34.6153989535468))","200362","20084800","200848","0",1,Franklin 1836,Franklin 1836,Jardín de Infantes Nucleado C (EPCjc 12/07°) [Sede],JIN C-00 (12),4583-9957,dei_jinc12_de7@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,7,FLORES,01 - HOSP ALVAREZ,"1",100185.209021,101588.343344,Inicial Común
"MULTIPOINT ((-58.4606806476838 -34.6153989535468))","200362","20084600","200846","0",1,Franklin 1836,Franklin 1836,Esc. Primaria Común N° 12 Facundo Zuviria,EPjc 12,4581-2783/6,dep_epc12_de7@bue.edu.ar 7 pri12de7@hotmail.com,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,7,FLORES,01 - HOSP ALVAREZ,"1",100185.209021,101588.343344,Primario Común
"MULTIPOINT ((-58.4606806476838 -34.6153989535468))","200362","20216000","202160","0",1,Franklin 1836,Franklin 1836,Centro Educativo Complementario de Idiomas Extranjeros N° 07,CECIE 07,4581-2783,dep_cecdie7_de7@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,OSECom,Otros Servicios Educativos de la modalidad Común,CECDIE,Centro Educativo Complementario de Idioma Extranjero,Dirección de Educación Primaria,"1",7,7,FLORES,01 - HOSP ALVAREZ,"1",100185.209021,101588.343344,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.46315548497 -34.6116219315349))","200363","20084802","200848","2",1,Galicia 1857,Galicia 1857,Jardín de Infantes Nucleado C (EPCjs 13/07°),JIN C-02 (13),4583-9957,dei_jinc12_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99958.2222539,102007.3529,Inicial Común
"MULTIPOINT ((-58.46315548497 -34.6116219315349))","200363","20014000","200140","0",1,Galicia 1857,Galicia 1857,Esc. Primaria Común N° 13 Leopoldo Marechal,EPjs 13,4581-7386,dep_epc13_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99958.2222539,102007.3529,Primario Común
"MULTIPOINT ((-58.4454600143935 -34.6129554314045))","200364","20126400","201264","0",1,Felipe Vallese 835,Felipe Vallese 835,Esc. Primaria Común N° 14 Dr. Ernesto E. Padilla,EPjc 14,4431-3630,dep_epc14_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",101581.247559,101859.284723,Primario Común
"MULTIPOINT ((-58.4362252145639 -34.6128459267115))","200365","20170602","201706","2",1,Dr. Eleodoro Lobos 437,Dr. Eleodoro Lobos 437,Jardín de Infantes Nucleado B (EPCjc 15/07°) La Veleta de Caballito,JIN B-02 (15),4904-2175,dei_jinb20_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102428.264558,101871.249194,Inicial Común
"MULTIPOINT ((-58.4362252145639 -34.6128459267115))","200365","20137500","201375","0",1,Dr. Eleodoro Lobos 437,Dr. Eleodoro Lobos 437,Esc. Primaria Común N° 15 Gral. José Gervasio de Artigas,EPjc 15,4982-9706,dep_epc15_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102428.264558,101871.249194,Primario Común
"MULTIPOINT ((-58.4488843003544 -34.6064384734947))","200366","20220100","202201","0",1,Cnel. Apolinario Figueroa 651,Luis Viale 676,Jardín de Infantes Integral N° 06/07°,JII 06/07,4585-4655,dei_jii6_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JII,Jardín de Infantes Integral,Dirección de Educación Inicial,"1",7,15,VILLA CRESPO,03 - HOSP DURAND,"1",101267.271823,102582.29801,Inicial Común
"MULTIPOINT ((-58.4488843003544 -34.6064384734947))","200366","20127200","201272","0",1,Cnel. Apolinario Figueroa 651,Cnel. Apolinario Figueroa 661,Esc. Primaria Común N° 16 Andrés Ferreyra,EPjc 16,4584-0390,dep_epc16_de7@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,15,VILLA CRESPO,03 - HOSP DURAND,"1",101267.271823,102582.29801,Primario Común
"MULTIPOINT ((-58.4003567643271 -34.5848468766441))","200063","20290700","202907","0",1,Avda. Gral. Las Heras 2670,Avda. Gral. Las Heras 2670,Escuela Infantil N° 08/01°,EI 08/01,4804-9003,dei_ei8de1@bue.edu.ar/ escuelainfantil8de1@gmail.com,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,"1",1,2,RECOLETA,04 - HOSP FERNANDEZ,"1",105720.034637,104975.897151,Inicial Común
"MULTIPOINT ((-58.4687002865619 -34.5730767154674))","200512","20053300","200533","0",1,La Pampa 3855,La Pampa 3855,Esc. Primaria Común N° 18 José Hernández,EPjc 18,4552-0867,dep_epc18_de10@bue.edu.ar /pri18de10@yahoo.com.ar,C1430,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",10,12,VILLA URQUIZA,07 - HOSP PIROVANO,"1",99449.3919163,106283.374646,Primario Común
"MULTIPOINT ((-58.4381632562655 -34.6017902442543))","200367","20137203","201372","3",1,Julián Alvarez 240,Julián Alvarez 240,Jardín de Infantes Nucleado A (EPCjc 17/07°),JIN A-03 (17),4856-7070,dei_jina1_de7@bue.edu.ar,C1414,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",7,15,VILLA CRESPO,03 - HOSP DURAND,"1",102250.80587,103097.766361,Inicial Común
"MULTIPOINT ((-58.4381632562655 -34.6017902442543))","200367","20075800","200758","0",1,Julián Alvarez 240,Julián Alvarez 240,Esc. Primaria Común N° 17 Francisco de Vitoria,EPjc 17,4854-0823,dep_epc17_de7@bue.edu.ar/escuela17de7@yahoo.com.ar,C1414,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,15,VILLA CRESPO,03 - HOSP DURAND,"1",102250.80587,103097.766361,Primario Común
"MULTIPOINT ((-58.4528845260939 -34.6192569235214))","200374","20135700","201357","0",1,José Juan Biedma 459,José Juan Biedma 459,Esc. Primaria Común N° 24 Virgen Generala,EPjc 24,4431-5659,dep_epc24_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100900.204958,101160.313281,Primario Común
"MULTIPOINT ((-58.4545746945018 -34.6175983769389))","200375","20126500","201265","0",1,Méndez de Andés 1451,Méndez de Andés 1451,Esc. Primaria Común N° 25 República de Guatemala,EPjc 25,4433-4950,dep_epc25_de7@bue.edu.ar / escuela25de7@yahoo.com.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100745.209624,101344.319778,Primario Común
"MULTIPOINT ((-58.4335095526153 -34.6155947342935))","200377","20137100","201371","0",1,Campichuelo 100,Campichuelo 100,Jardín de Infantes Común N° 02/07° Prof. Marina Margarita Ravioli,JIC 02/07,4901-6898,dei_jic2_de7@bue.edu.ar / jicn2de7@yahoo.com.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102677.256555,101566.238637,Inicial Común
"MULTIPOINT ((-58.4381883412798 -34.6104124328772))","200378","20173000","201730","0",1,Juan B. Ambrosetti 699,Juan B. Ambrosetti 699,Jardín Maternal N° 05/07° Jacarandá,JM 05/07,4981-6762,dei_jm5_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JM,Jardín Maternal,Dirección de Educación Inicial,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102248.27237,102141.256752,Inicial Común
"MULTIPOINT ((-58.4328575063763 -34.6085815461926))","200379","20140500","201405","0",1,Avda. Díaz Vélez 4659,Eduardo Acevedo 609,Jardín de Infantes Integral N° 01/07° Andres Ferreyra,JII 01/07,4982-0597,dei_jii1_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JII,Jardín de Infantes Integral,Dirección de Educación Inicial,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102737.290379,102344.23618,Inicial Común
"MULTIPOINT ((-58.4385569786803 -34.6190120435124))","200380","20135200","201352","0",1,Avda. Rivadavia 5161,Avda. Rivadavia 5161,Colegio N° 17 Primera Junta,Col 17,4901-9805/9053,dem_col17_de7@bue.edu.ar,C1424,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102214.231643,101187.258094,Secundario Común
"MULTIPOINT ((-58.4385569786803 -34.6190120435124))","200380","20075600","200756","0",1,Avda. Rivadavia 5161,Avda. Rivadavia 5161,Esc. de Comercio N° 23 Dr. Luis Agote,EC 23,4901-9805/9053,dem_ec23_de7@bue.edu.ar,C1424,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,EC,Escuela de Comercio,Dirección de Educación Media,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102214.231643,101187.258094,Secundario Común
"MULTIPOINT ((-58.3895026716829 -34.6168578119895))","200123","20245834","202458","34",1,Chile 1626,Chile 1626,Primera Infancia Chile,PI 34,4343-5591 INT 605/7,inclusioneducativa@bue.edu.ar,C1100,http://www.buenosaires.gob.ar/areas/educacion/dgie/clubes_infantiles.php?menu_id=31761,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,"1",3,1,MONTSERRAT,08 - HOSP RAMOS MEJIA,"1",106713.32907,101424.069078,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.4324968891729 -34.6462697748232))","200865","20227800","202278","0",1,Mom 2358,Mom 2358,Esc. Primaria Común N° 22 Juana Azurduy,EPjs 22,4921-7731,dep_epc22_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",19,4,NUEVA POMPEYA,06 - HOSP PIÑERO,"1",102769.115458,98163.2343766,Primario Común
"MULTIPOINT ((-58.4466926515094 -34.6087098644368))","200381","20087600","200876","0",1,Gral. Martín de Gainza 1050,Gral. Martín de Gainza 1050,Esc. Técnica N° 09 Ing. Luis A. Huergo,ET 09,4582-6690,det_9_de7@bue.edu.ar,C1405,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/tecnica,SecCom,Nivel Secundario Común,TEC,Escuela Técnica,Dirección de Educación Técnica,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",101468.265095,102330.289464,Secundario Común
"MULTIPOINT ((-58.5236839512653 -34.6376977285982))","200827","20245835","202458","35",1,Gallardo 149,Gallardo 149,Primera Infancia Luz de Luna,PI 35,4343-5591 INT 605/7,inclusioneducativa@bue.edu.ar,C1408,http://www.buenosaires.gob.ar/areas/educacion/dgie/clubes_infantiles.php?menu_id=31761,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,"1",18,9,LINIERS,11 - HOSP VELEZ SARSFIELD,"1",94408.2250877,99112.9110472,Otros Servicios Educativos de la modalidad Común
